"","NamePublicationEnglish","WHOregionCode","VaccineCode","Year","PerCentCoverage","Life.Expectancy","VaccineLevel","Life.Expectancy.Level"
"435","Seychelles","AFRO","DTP3",2017,97,73.65,"H","H"
"436","Seychelles","AFRO","Pol3",2017,97,73.65,"H","H"
"437","Seychelles","AFRO","RCV1",2017,99,73.65,"H","H"
"438","Sierra Leone","AFRO","Pol3",2017,93,52.01,"H","L"
"439","Sierra Leone","AFRO","DTP3",2017,93,52.01,"H","L"
"440","Sierra Leone","AFRO","MCV1",2017,86,52.01,"L","L"
"441","Singapore","WPRO","MCV1",2017,95.27393404,83.6,"H","H"
"442","Singapore","WPRO","RCV1",2017,95.27393404,83.6,"H","H"
"443","Singapore","WPRO","DTP3",2017,95.92876826,83.6,"H","H"
"444","Singapore","WPRO","Pol3",2017,95.91395301,83.6,"H","H"
"445","Slovakia","EURO","DTP3",2017,96.4,76.64,"H","H"
"446","Slovakia","EURO","Pol3",2017,96.4,76.64,"H","H"
"447","Slovakia","EURO","MCV1",2017,95.8,76.64,"H","H"
"448","Slovakia","EURO","RCV1",2017,95.8,76.64,"H","H"
"449","Solomon Islands","WPRO","RCV1",2017,84.29975165,68.54,"L","L"
"450","Solomon Islands","WPRO","Pol3",2017,80.0723464,68.54,"L","L"
"451","Solomon Islands","WPRO","DTP3",2017,82.67465716,68.54,"L","L"
"452","Solomon Islands","WPRO","MCV1",2017,84.29975165,68.54,"L","L"
"453","Somalia","EMRO","MCV1",2017,59.7810482,56.37,"L","L"
"454","Somalia","EMRO","DTP3",2017,63.20368761,56.37,"L","L"
"455","Somalia","EMRO","Pol3",2017,63.95003536,56.37,"L","L"
"456","South Africa","AFRO","DTP3",2017,83.71136446,57.85,"L","L"
"457","South Africa","AFRO","MCV1",2017,81.05028282,57.85,"L","L"
"458","South Africa","AFRO","Pol3",2017,83.71136446,57.85,"L","L"
"459","South Sudan","AFRO","DTP3",2017,58.58733809,56.92,"L","L"
"460","South Sudan","AFRO","Pol3",2017,58.11191453,56.92,"L","L"
"461","South Sudan","AFRO","MCV1",2017,74.75615764,56.92,"L","L"
"462","Spain","EURO","MCV1",2017,96.5,83.12,"H","H"
"463","Spain","EURO","DTP3",2017,97.9,83.12,"H","H"
"464","Spain","EURO","RCV1",2017,96.5,83.12,"H","H"
"465","Spain","EURO","Pol3",2017,93.5,83.12,"H","H"
"466","Sri Lanka","SEARO","MCV1",2017,96.8,75.4,"H","H"
"467","Sri Lanka","SEARO","RCV1",2017,96.8,75.4,"H","H"
"468","Sri Lanka","SEARO","DTP3",2017,96,75.4,"H","H"
"469","Sri Lanka","SEARO","Pol3",2017,96,75.4,"H","H"
"470","Suriname","AMRO","Pol3",2017,65,71.52,"L","L"
"471","Suriname","AMRO","MCV1",2017,97,71.52,"H","L"
"472","Suriname","AMRO","RCV1",2017,97,71.52,"H","L"
"473","Suriname","AMRO","DTP3",2017,81,71.52,"L","L"
"474","Switzerland","EURO","DTP3",2017,96.5,83.48,"H","H"
"475","Switzerland","EURO","MCV1",2017,95.1,83.48,"H","H"
"476","Switzerland","EURO","Pol3",2017,96.5,83.48,"H","H"
"477","Switzerland","EURO","RCV1",2017,94.9,83.48,"H","H"
"478","Tajikistan","EURO","DTP3",2017,96.5,69.85,"H","L"
"479","Tajikistan","EURO","Pol3",2017,96.8,69.85,"H","L"
"480","Tajikistan","EURO","RCV1",2017,98.1,69.85,"H","L"
"481","Tajikistan","EURO","MCV1",2017,98.1,69.85,"H","L"
"482","Thailand","SEARO","MCV1",2017,99.99,74.98,"H","H"
"483","Thailand","SEARO","DTP3",2017,99.99,74.98,"H","H"
"484","Thailand","SEARO","RCV1",2017,99.99,74.98,"H","H"
"485","Thailand","SEARO","Pol3",2017,99.99,74.98,"H","H"
"486","Timor-Leste","SEARO","DTP3",2017,105.6019174,69.11,"H","L"
"487","Timor-Leste","SEARO","RCV1",2017,102.4677308,69.11,"H","L"
"488","Timor-Leste","SEARO","Pol3",2017,104.8829084,69.11,"H","L"
"489","Timor-Leste","SEARO","MCV1",2017,102.4677308,69.11,"H","L"
"490","Togo","AFRO","MCV1",2017,90.58635066,60.97,"L","L"
"491","Togo","AFRO","Pol3",2017,84.05122235,60.97,"L","L"
"492","Togo","AFRO","DTP3",2017,90.1512061,60.97,"L","L"
"493","Tonga","WPRO","MCV1",2017,99,73.31,"H","H"
"494","Tonga","WPRO","DTP3",2017,99,73.31,"H","H"
"495","Tonga","WPRO","Pol3",2017,99,73.31,"H","H"
"496","Tonga","WPRO","RCV1",2017,99,73.31,"H","H"
"497","Trinidad and Tobago","AMRO","DTP3",2017,89,70.71,"L","L"
"498","Trinidad and Tobago","AMRO","Pol3",2017,94,70.71,"H","L"
"499","Trinidad and Tobago","AMRO","RCV1",2017,93,70.71,"L","L"
"500","Trinidad and Tobago","AMRO","MCV1",2017,93,70.71,"H","L"
"501","Tunisia","EMRO","Pol3",2017,92.4,75.35,"L","H"
"502","Tunisia","EMRO","RCV1",2017,91.4,75.35,"L","H"
"503","Tunisia","EMRO","DTP3",2017,92.4,75.35,"L","H"
"504","Tunisia","EMRO","MCV1",2017,91.4,75.35,"L","H"
"505","Turkey","EURO","DTP3",2017,96,76.06,"H","H"
"506","Turkey","EURO","RCV1",2017,96,76.06,"H","H"
"507","Turkey","EURO","Pol3",2017,96,76.06,"H","H"
"508","Turkey","EURO","MCV1",2017,96,76.06,"H","H"
"509","Turkmenistan","EURO","RCV1",2017,99,66,"H","L"
"510","Turkmenistan","EURO","Pol3",2017,98.9,66,"H","L"
"511","Turkmenistan","EURO","DTP3",2017,98.9,66,"H","L"
"512","Turkmenistan","EURO","MCV1",2017,99,66,"H","L"
"513","Uganda","AFRO","DTP3",2017,94.35515283,60.53,"H","L"
"514","Uganda","AFRO","Pol3",2017,89.60495021,60.53,"L","L"
"515","Uganda","AFRO","MCV1",2017,83.30391926,60.53,"L","L"
"516","Ukraine","EURO","Pol3",2017,52.2,71.24,"L","L"
"517","Ukraine","EURO","RCV1",2017,93.4,71.24,"L","L"
"518","Ukraine","EURO","MCV1",2017,93.4,71.24,"H","L"
"519","Ukraine","EURO","DTP3",2017,53.6,71.24,"L","L"
"520","Uzbekistan","EURO","DTP3",2017,99.8,68.75,"H","L"
"521","Uzbekistan","EURO","Pol3",2017,99.9,68.75,"H","L"
"522","Uzbekistan","EURO","RCV1",2017,99.8,68.75,"H","L"
"523","Uzbekistan","EURO","MCV1",2017,99.8,68.75,"H","L"
"524","Vanuatu","WPRO","MCV1",2017,88.04729572,72.57,"L","L"
"525","Vanuatu","WPRO","DTP3",2017,93.00205152,72.57,"H","L"
"526","Vanuatu","WPRO","Pol3",2017,91.97629359,72.57,"L","L"
"527","Vanuatu","WPRO","RCV1",2017,88.04729572,72.57,"L","L"
"528","Yemen","EMRO","DTP3",2017,83,64.43,"L","L"
"529","Yemen","EMRO","MCV1",2017,73,64.43,"L","L"
"530","Yemen","EMRO","Pol3",2017,83,64.43,"L","L"
"531","Yemen","EMRO","RCV1",2017,73,64.43,"L","L"
"532","Zambia","AFRO","DTP3",2017,94.3990393,62.04,"H","L"
"533","Zambia","AFRO","MCV1",2017,96.44387076,62.04,"H","L"
"534","Zambia","AFRO","Pol3",2017,92.10047075,62.04,"L","L"
"535","Zambia","AFRO","RCV1",2017,96,62.04,"H","L"
"536","Zimbabwe","AFRO","DTP3",2017,88,61.74,"L","L"
"537","Zimbabwe","AFRO","MCV1",2017,89,61.74,"L","L"
"538","Zimbabwe","AFRO","Pol3",2017,88,61.74,"L","L"
"539","Zimbabwe","AFRO","RCV1",2017,89,61.74,"L","L"
